;TG;RR;SD
1991-01-01;-8.4;217;240
1991-01-02;-3.8;0;265
1991-01-03;3.1;0;255
1991-01-04;-2.5;56;250
1991-01-05;-9.1;193;255
1991-01-06;-4.7;0;270
1991-01-07;-4.7;53;265
1991-01-08;-5.5;7;260
1991-01-09;-3.3000000000000003;0;255
1991-01-10;3.1;0;250
1991-01-11;4.1000000000000005;0;250
1991-01-12;-5.0;57;250
1991-01-13;-7.7;56;255
1991-01-14;-10.0;34;260
1991-01-15;-13.5;0;260
1991-01-16;-14.9;0;250
1991-01-17;-9.4;0;250
1991-01-18;-6.1000000000000005;0;245
1991-01-19;-7.1000000000000005;0;245
1991-01-20;-8.0;0;240
1991-01-21;-9.1;0;240
1991-01-22;-7.9;0;240
1991-01-23;-5.800000000000002;0;240
1991-01-24;-6.1000000000000005;0;235
1991-01-25;-3.1;0;235
1991-01-26;-3.6;0;230
1991-01-27;-6.9;0;230
1991-01-28;-10.9;0;225
1991-01-29;-7.4;0;225
1991-01-30;-9.5;0;225
1991-01-31;-11.7;0;225
1991-02-01;-13.7;0;220
1991-02-02;-10.0;0;220
1991-02-03;-11.8;0;220
1991-02-04;-15.2;0;220
1991-02-05;-22.4;1;220
1991-02-06;-23.700000000000006;71;220
1991-02-07;-17.1;117;225
1991-02-08;-9.6;103;240
1991-02-09;-11.4;294;250
1991-02-10;-7.4;671;290
1991-02-11;-12.1;65;340
1991-02-12;-16.3;64;350
1991-02-13;-19.4;5;350
1991-02-14;-18.5;0;345
1991-02-15;-17.400000000000002;0;340
1991-02-16;-12.1;0;340
1991-02-17;-8.700000000000001;0;335
1991-02-18;-5.0;0;335
1991-02-19;-2.9000000000000004;0;335
1991-02-20;-2.9000000000000004;0;330
1991-02-21;-5.1000000000000005;0;325
1991-02-22;-6.2;0;325
1991-02-23;-3.8;0;320
1991-02-24;0.2;0;320
1991-02-25;0.6000000000000001;0;315
1991-02-26;-1.5;0;315
1991-02-27;-1.7000000000000002;0;305
1991-02-28;-4.3;0;305
1991-03-01;-6.2;21;300
1991-03-02;-5.300000000000002;0;300
1991-03-03;-3.4000000000000004;2;300
1991-03-04;-1.3;0;300
1991-03-05;1.0;0;300
1991-03-06;-3.0;25;300
1991-03-07;-1.8;98;300
1991-03-08;-0.5;104;305
1991-03-09;-2.9000000000000004;4;300
1991-03-10;-4.1000000000000005;55;300
1991-03-11;-4.0;12;305
1991-03-12;-4.9;0;305
1991-03-13;-3.4000000000000004;0;305
1991-03-14;-4.4;0;300
1991-03-15;-3.2;0;300
1991-03-16;-4.0;0;295
1991-03-17;-4.6000000000000005;0;295
1991-03-18;-4.7;101;295
1991-03-19;-3.9;1;300
1991-03-20;-1.4;10;300
1991-03-21;-1.2000000000000002;0;300
1991-03-22;-2.5;98;300
1991-03-23;-0.9;110;310
1991-03-24;2.2;0;310
1991-03-25;-2.1;150;295
1991-03-26;-4.9;63;305
1991-03-27;-7.800000000000002;218;305
1991-03-28;-13.3;0;325
1991-03-29;-12.8;196;325
1991-03-30;-9.3;14;340
1991-03-31;-6.800000000000002;0;330
1991-04-01;-6.800000000000002;0;320
1991-04-02;-1.4;0;320
1991-04-03;-1.2000000000000002;18;315
1991-04-04;-3.4000000000000004;43;315
1991-04-05;-4.2;138;315
1991-04-06;-3.5;142;325
1991-04-07;-3.9;2;335
1991-04-08;-4.6000000000000005;5;330
1991-04-09;-3.7;0;325
1991-04-10;-4.0;2;325
1991-04-11;-6.800000000000002;2;320
1991-04-12;-5.2;10;320
1991-04-13;-5.0;7;320
1991-04-14;-4.6000000000000005;50;320
1991-04-15;-2.8000000000000003;6;325
1991-04-16;-1.8;28;310
1991-04-17;-11.0;285;295
1991-04-18;-13.1;35;340
1991-04-19;-12.2;0;340
1991-04-20;-11.5;15;330
1991-04-21;-10.6;103;330
1991-04-22;-10.1;12;345
1991-04-23;-9.3;40;350
1991-04-24;-10.4;0;355
1991-04-25;-8.3;7;345
1991-04-26;-7.5;22;340
